# 合并完成 - 共 4 个分组，219 个频道（已按URL去重）
#EXTM3U
凤凰,#genre#
凤凰中文,http://222.212.84.190:54123/udp/239.93.1.9:2192
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,http://bxtv.3a.ink/api.php?id=fhzw
凤凰中文,http://108.181.20.197/livehttpplay?channel_id=20065
凤凰中文,http://108.181.20.197/livehttpplay?channel_id=30014
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰中文,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=mc42afe745533&ct=11595590&tsum=008f741ae7aa9dcb6c0216df635cf4dd
凤凰中文,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://43.161.243.227:35455/rptv/HD-10000k-1080P-fhchinese5s.m3u8?license=cntv
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MDFD5624054756240547&ct=19235&tsum=3d8e21403954d488cd95d367f1f90d8b
凤凰中文,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163.dedyn.io/live/fhzw/stream.m3u8
凤凰中文,http://dms.yryyj.site:8188/udp/239.76.246.135:1234
凤凰中文,http://dns.yiandrive.com:15907/phenix/fhzw
凤凰中文,http://iptvproxy.hxfrock.ggff.net/?url=http://iptv.4666888.xyz/iptv2A.php?id=60
凤凰中文,http://live4play.uk/livehttpplay?channel_id=20065
凤凰中文,http://live4play.uk/livehttpplay?channel_id=30014
凤凰中文,http://macyx.top:35455/rptv/HD-10000k-1080P-fhchinese5s.m3u8?license=cntv
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://xn--94q.xn--0p5a.top/0405smt.php?id=phoenixtv_hd
凤凰中文,http://zqh2333.top:2222/rtp/239.93.24.9:2192
凤凰中文,https://ali.hlspull.yximgs.com/live/167_fhzw.flv
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
