🐼央视专区,#genre#
CCTV1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8
CCTV1,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPpqgHe3PQ5GNQoO-yUgA8C%2CEND#http://tvbox6.icu/tv/migu.php?id=cctv1$咪咕直播#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0ec161&tk=822270345d4c#http://115.159.35.169:35455/gaoma/cctv1.m3u8#http://202.168.187.208:9089/tsfile/live/1003_1.m3u8#http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2#http://183.184.228.183:9003//hls/1/index.m3u8#http://39.77.34.83:35455/gaoma/cctv1.m3u8#http://b.zgjok.com:35455/gaoma/cctv1.m3u8#http://nas.suntao.online:35455/gaoma/cctv1.m3u8#http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?#http://home.kuaidi521.com:35455/gaoma/cctv1.m3u8#http://huashetou.fun:35455/gaoma/cctv1.m3u8#http://175.31.21.146:4480/hls/1/index.m3u8#http://xsbc.3sbio.com:35455/gaoma/cctv1.m3u8#http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://42.48.105.224:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.213.65.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.29.168.146:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://1.180.2.93:9901/tsfile/live/1020_1.m3u8#http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://yc.myds.me:35455/gaoma/cctv1.m3u8
CCTV1,http://yc.myds.me:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,http://yc.myds.me:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://yc.myds.me:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://1.itv.nctv.top:1212/gaoma/cctv2.m3u8#http://tvbox6.icu/tv/migu.php?id=cctv2$咪咕直播#http://202.168.187.208:9089/tsfile/live/0002_1.m3u8#http://183.184.228.183:9003//hls/2/index.m3u8#http://115.159.35.169:35455/gaoma/cctv2.m3u8#http://202.168.187.208:9089/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://b.zgjok.com:35455/gaoma/cctv2.m3u8#http://www.douzhicloud.site:35455/gaoma/cctv2.m3u8#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://nas.suntao.online:35455/gaoma/cctv2.m3u8#http://home.kuaidi521.com:35455/gaoma/cctv2.m3u8#http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8#http://58.243.224.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8#http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8#http://175.31.21.146:4480/hls/2/index.m3u8#http://60.214.104.110:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://218.29.168.146:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://148.135.93.213:81/live.php?id=CCTV2
CCTV2,http://yc.myds.me:35455/gaoma/cctv2.m3u8
CCTV2,http://yc.myds.me:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://yc.myds.me:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
